key,state,cum_confirmed,cum_Deaths,date,State,positive,death,hospitalized,total,recovered,positiveIncrease,deathIncrease,hospitalizedIncrease,totalTestResultsIncrease,flag,daily_confirmed,daily_Deaths
20200726 Hawaii,Hawaii,1620,26,2020-07-26,Hawaii,1620,26,161,114052,1167,71,0,5,1262,1,63,0
20200725 Hawaii,Hawaii,1549,26,2020-07-25,Hawaii,1549,26,156,112790,1148,59,0,1,1499,1,71,0
20200724 Hawaii,Hawaii,1490,26,2020-07-24,Hawaii,1490,26,155,111291,1125,55,1,1,2478,1,59,0
20200723 Hawaii,Hawaii,1435,25,2020-07-23,Hawaii,1435,25,154,108813,1113,17,1,3,631,1,55,1
20200722 Hawaii,Hawaii,1418,24,2020-07-22,Hawaii,1418,24,151,108182,1084,25,0,1,1399,1,17,1
20200721 Hawaii,Hawaii,1393,24,2020-07-21,Hawaii,1393,24,150,106783,1057,12,0,0,827,1,25,0
20200720 Hawaii,Hawaii,1381,24,2020-07-20,Hawaii,1381,24,150,105956,1043,27,0,10,1321,1,12,0
20200719 Hawaii,Hawaii,1354,24,2020-07-19,Hawaii,1354,24,140,104635,1019,20,1,1,1640,1,27,0
20200718 Hawaii,Hawaii,1334,23,2020-07-18,Hawaii,1334,23,139,102995,994,23,1,1,1791,1,20,1
20200717 Hawaii,Hawaii,1311,22,2020-07-17,Hawaii,1311,22,138,101204,975,19,0,1,1817,1,23,1
20200716 Hawaii,Hawaii,1292,22,2020-07-16,Hawaii,1292,22,137,99387,951,28,0,4,1830,1,19,0
20200715 Hawaii,Hawaii,1264,22,2020-07-15,Hawaii,1264,22,133,97557,921,21,0,5,1487,1,28,0
20200714 Hawaii,Hawaii,1243,22,2020-07-14,Hawaii,1243,22,128,96070,911,23,3,3,900,1,21,0
20200713 Hawaii,Hawaii,1220,19,2020-07-13,Hawaii,1220,19,125,95170,890,20,0,0,1250,1,23,3
20200712 Hawaii,Hawaii,1200,19,2020-07-12,Hawaii,1200,19,125,93920,872,42,0,0,1686,1,20,0
20200711 Hawaii,Hawaii,1158,19,2020-07-11,Hawaii,1158,19,125,92234,847,28,0,2,1639,1,42,0
20200710 Hawaii,Hawaii,1130,19,2020-07-10,Hawaii,1130,19,123,90595,840,36,0,1,1443,1,28,0
20200709 Hawaii,Hawaii,1094,19,2020-07-09,Hawaii,1094,19,122,89152,811,23,0,3,2056,1,36,0
20200708 Hawaii,Hawaii,1071,19,2020-07-08,Hawaii,1071,19,119,87096,797,41,0,0,1423,1,23,0
20200707 Hawaii,Hawaii,1030,19,2020-07-07,Hawaii,1030,19,119,85673,781,7,0,1,615,1,41,0
20200706 Hawaii,Hawaii,1023,19,2020-07-06,Hawaii,1023,19,118,85058,777,24,0,0,733,1,7,0
20200705 Hawaii,Hawaii,999,19,2020-07-05,Hawaii,999,19,118,84325,756,24,0,0,849,1,24,0
20200704 Hawaii,Hawaii,975,19,2020-07-04,Hawaii,975,19,118,83476,754,29,1,2,1858,1,24,0
20200703 Hawaii,Hawaii,946,18,2020-07-03,Hawaii,946,18,116,81618,746,20,0,0,1328,1,29,1
20200702 Hawaii,Hawaii,926,18,2020-07-02,Hawaii,926,18,116,80290,741,9,0,3,1232,1,20,0
20200701 Hawaii,Hawaii,917,18,2020-07-01,Hawaii,917,18,113,79058,736,17,0,2,1315,1,9,0
20200630 Hawaii,Hawaii,900,18,2020-06-30,Hawaii,900,18,111,77743,722,1,0,0,588,1,17,0
20200629 Hawaii,Hawaii,899,18,2020-06-29,Hawaii,899,18,111,77155,719,27,0,1,1677,1,1,0
20200628 Hawaii,Hawaii,872,18,2020-06-28,Hawaii,872,18,110,75478,714,6,1,1,1177,1,27,0
20200627 Hawaii,Hawaii,866,17,2020-06-27,Hawaii,866,17,109,74301,705,16,0,0,1296,1,6,1
20200626 Hawaii,Hawaii,850,17,2020-06-26,Hawaii,850,17,109,73005,696,15,0,4,1070,1,16,0
20200625 Hawaii,Hawaii,835,17,2020-06-25,Hawaii,835,17,105,71935,686,16,0,1,1396,1,15,0
20200624 Hawaii,Hawaii,819,17,2020-06-24,Hawaii,819,17,104,70539,673,3,0,5,1199,1,16,0
20200623 Hawaii,Hawaii,816,17,2020-06-23,Hawaii,816,17,99,69340,669,2,0,2,629,1,3,0
20200622 Hawaii,Hawaii,814,17,2020-06-22,Hawaii,814,17,97,68711,651,11,0,1,851,1,2,0
20200621 Hawaii,Hawaii,803,17,2020-06-21,Hawaii,803,17,96,67860,644,14,0,0,1126,1,11,0
20200620 Hawaii,Hawaii,789,17,2020-06-20,Hawaii,789,17,96,66734,642,27,0,1,990,1,14,0
20200619 Hawaii,Hawaii,762,17,2020-06-19,Hawaii,762,17,95,65744,640,18,0,0,1370,1,27,0
20200618 Hawaii,Hawaii,744,17,2020-06-18,Hawaii,744,17,95,64374,639,4,0,3,1131,1,18,0
20200617 Hawaii,Hawaii,740,17,2020-06-17,Hawaii,740,17,92,63243,637,4,0,1,1215,1,4,0
20200616 Hawaii,Hawaii,736,17,2020-06-16,Hawaii,736,17,91,62028,630,8,0,0,554,1,4,0
20200615 Hawaii,Hawaii,728,17,2020-06-15,Hawaii,728,17,91,61474,629,5,0,2,1152,1,8,0
20200614 Hawaii,Hawaii,723,17,2020-06-14,Hawaii,723,17,89,60322,628,17,0,2,984,1,5,0
20200613 Hawaii,Hawaii,706,17,2020-06-13,Hawaii,706,17,87,59338,627,14,0,1,759,1,17,0
20200612 Hawaii,Hawaii,692,17,2020-06-12,Hawaii,692,17,86,58579,623,7,0,1,1284,1,14,0
20200611 Hawaii,Hawaii,685,17,2020-06-11,Hawaii,685,17,85,57295,622,3,0,1,1122,1,7,0
20200610 Hawaii,Hawaii,682,17,2020-06-10,Hawaii,682,17,84,56173,621,6,0,0,699,1,3,0
20200609 Hawaii,Hawaii,676,17,2020-06-09,Hawaii,676,17,84,55474,618,1,0,0,327,1,6,0
20200608 Hawaii,Hawaii,675,17,2020-06-08,Hawaii,675,17,84,55147,617,2,0,1,1092,1,1,0
20200607 Hawaii,Hawaii,673,17,2020-06-07,Hawaii,673,17,83,54055,616,9,0,0,798,1,2,0
20200606 Hawaii,Hawaii,664,17,2020-06-06,Hawaii,664,17,83,53257,614,9,0,0,921,1,9,0
20200605 Hawaii,Hawaii,655,17,2020-06-05,Hawaii,655,17,83,52336,611,2,0,0,1698,1,9,0
20200604 Hawaii,Hawaii,653,17,2020-06-04,Hawaii,653,17,83,50638,612,0,0,0,1130,1,2,0
20200603 Hawaii,Hawaii,653,17,2020-06-03,Hawaii,653,17,83,49508,609,1,0,0,587,1,0,0
20200602 Hawaii,Hawaii,652,17,2020-06-02,Hawaii,652,17,83,48921,608,0,0,0,434,1,1,0
20200601 Hawaii,Hawaii,652,17,2020-06-01,Hawaii,652,17,83,48487,608,1,0,0,-6133,1,0,0
20200531 Hawaii,Hawaii,651,17,2020-05-31,Hawaii,651,17,83,54620,606,2,0,0,606,1,1,0
20200530 Hawaii,Hawaii,649,17,2020-05-30,Hawaii,649,17,83,54014,605,2,0,0,1190,1,2,0
20200529 Hawaii,Hawaii,647,17,2020-05-29,Hawaii,647,17,83,52824,604,3,0,0,985,1,2,0
20200528 Hawaii,Hawaii,644,17,2020-05-28,Hawaii,644,17,83,51839,600,1,0,0,637,1,3,0
20200527 Hawaii,Hawaii,643,17,2020-05-27,Hawaii,643,17,83,51202,593,0,0,-1,831,1,1,0
20200526 Hawaii,Hawaii,643,17,2020-05-26,Hawaii,643,17,84,50371,592,0,0,0,0,1,0,0
20200525 Hawaii,Hawaii,643,17,2020-05-25,Hawaii,643,17,84,50371,591,0,0,0,799,1,0,0
20200524 Hawaii,Hawaii,643,17,2020-05-24,Hawaii,643,17,84,49572,589,1,0,0,751,1,0,0
20200523 Hawaii,Hawaii,642,17,2020-05-23,Hawaii,642,17,84,48821,585,-5,0,1,836,1,1,0
20200522 Hawaii,Hawaii,647,17,2020-05-22,Hawaii,647,17,83,47985,579,4,0,1,836,1,0,0
20200521 Hawaii,Hawaii,643,17,2020-05-21,Hawaii,643,17,82,47149,578,2,0,0,845,1,4,0
20200520 Hawaii,Hawaii,641,17,2020-05-20,Hawaii,641,17,82,46304,578,1,0,0,1281,1,2,0
20200519 Hawaii,Hawaii,640,17,2020-05-19,Hawaii,640,17,82,45023,574,0,0,0,2978,1,1,0
20200518 Hawaii,Hawaii,640,17,2020-05-18,Hawaii,640,17,82,42045,573,1,0,0,371,1,0,0
20200818 Idaho,Idaho,27942,273,2020-08-18,Idaho,27942,273,1129,226869,11093,282,4,19,2382,,,
20200817 Idaho,Idaho,27660,269,2020-08-17,Idaho,27660,269,1110,224487,10883,183,0,7,1265,1,282,4
20200816 Idaho,Idaho,27477,269,2020-08-16,Idaho,27477,269,1103,223222,10616,304,4,12,2210,1,183,0
20200815 Idaho,Idaho,27173,265,2020-08-15,Idaho,27173,265,1091,221012,10369,542,14,23,2791,1,304,4
20200814 Idaho,Idaho,26631,251,2020-08-14,Idaho,26631,251,1068,218221,10089,498,5,17,3608,1,542,14
20200813 Idaho,Idaho,26133,246,2020-08-13,Idaho,26133,246,1051,214613,9850,538,0,14,2369,1,498,5
20200812 Idaho,Idaho,25595,246,2020-08-12,Idaho,25595,246,1037,212244,9548,495,7,31,3839,1,538,0
20200811 Idaho,Idaho,25100,239,2020-08-11,Idaho,25100,239,1006,208405,9341,429,2,7,1929,1,495,7
20200810 Idaho,Idaho,24671,237,2020-08-10,Idaho,24671,237,999,206476,9157,176,2,11,1645,1,429,2
20200809 Idaho,Idaho,24495,235,2020-08-09,Idaho,24495,235,988,204831,8921,573,6,20,1860,1,176,2
20200808 Idaho,Idaho,23922,229,2020-08-08,Idaho,23922,229,968,202971,8738,523,6,14,4271,1,573,6
20200807 Idaho,Idaho,23399,223,2020-08-07,Idaho,23399,223,954,198700,8486,692,6,23,4107,1,523,6
20200806 Idaho,Idaho,22707,217,2020-08-06,Idaho,22707,217,931,194593,8207,473,7,25,2706,1,692,6
20200805 Idaho,Idaho,22234,210,2020-08-05,Idaho,22234,210,906,191887,7875,559,10,20,4109,1,473,7
20200804 Idaho,Idaho,21675,200,2020-08-04,Idaho,21675,200,886,187778,7617,331,3,12,2441,1,559,10
20200803 Idaho,Idaho,21344,197,2020-08-03,Idaho,21344,197,874,185337,7370,230,0,18,1038,1,331,3
20200802 Idaho,Idaho,21114,197,2020-08-02,Idaho,21114,197,856,184299,7146,393,8,6,2426,1,230,0
20200801 Idaho,Idaho,20721,189,2020-08-01,Idaho,20721,189,850,181873,6998,475,12,15,2763,1,393,8
20200731 Idaho,Idaho,20246,177,2020-07-31,Idaho,20246,177,835,179110,6744,567,4,27,3591,1,475,12
20200730 Idaho,Idaho,19679,173,2020-07-30,Idaho,19679,173,808,175519,6472,457,13,25,2477,1,567,4
20200729 Idaho,Idaho,19222,160,2020-07-29,Idaho,19222,160,783,173042,6203,528,8,33,2325,1,457,13
20200728 Idaho,Idaho,18694,152,2020-07-28,Idaho,18694,152,750,170717,5964,517,6,9,2723,1,528,8
20200727 Idaho,Idaho,18177,146,2020-07-27,Idaho,18177,146,741,167994,5731,350,0,18,1770,1,517,6
20200726 Idaho,Idaho,17827,146,2020-07-26,Idaho,17827,146,723,166224,5483,563,2,14,2784,1,350,0
20200725 Idaho,Idaho,17264,144,2020-07-25,Idaho,17264,144,709,163440,5251,528,6,12,3247,1,563,2
20200724 Idaho,Idaho,16736,138,2020-07-24,Idaho,16736,138,697,160193,5008,414,3,23,3367,1,528,6
20200723 Idaho,Idaho,16322,135,2020-07-23,Idaho,16322,135,674,156826,4746,500,9,18,2855,1,414,3
20200722 Idaho,Idaho,15822,126,2020-07-22,Idaho,15822,126,656,153971,4504,556,4,35,2900,1,500,9
20200721 Idaho,Idaho,15266,122,2020-07-21,Idaho,15266,122,621,151071,4335,393,3,21,3183,1,556,4
20200720 Idaho,Idaho,14873,119,2020-07-20,Idaho,14873,119,600,147888,4149,571,0,17,1702,1,393,3
20200719 Idaho,Idaho,14302,119,2020-07-19,Idaho,14302,119,583,146186,3989,550,1,13,3681,1,571,0
20200718 Idaho,Idaho,13752,118,2020-07-18,Idaho,13752,118,570,142505,3827,619,4,16,2186,1,550,1
20200717 Idaho,Idaho,13133,114,2020-07-17,Idaho,13133,114,554,140319,3676,688,4,28,3456,1,619,4
20200716 Idaho,Idaho,12445,110,2020-07-16,Idaho,12445,110,526,136863,3513,727,7,16,2949,1,688,4
20200715 Idaho,Idaho,11718,103,2020-07-15,Idaho,11718,103,510,133914,3360,316,1,10,3630,1,727,7
20200714 Idaho,Idaho,11402,102,2020-07-14,Idaho,11402,102,500,130284,3262,500,0,23,3152,1,316,1
20200713 Idaho,Idaho,10902,102,2020-07-13,Idaho,10902,102,477,127132,3179,397,0,9,1871,1,500,0
20200712 Idaho,Idaho,10505,102,2020-07-12,Idaho,10505,102,468,125261,3114,577,1,19,2912,1,397,0
20200711 Idaho,Idaho,9928,101,2020-07-11,Idaho,9928,101,449,122349,3066,500,1,17,4271,1,577,1
20200710 Idaho,Idaho,9428,100,2020-07-10,Idaho,9428,100,432,118078,3022,459,2,21,3458,1,500,1
20200709 Idaho,Idaho,8969,98,2020-07-09,Idaho,8969,98,411,114620,2978,430,4,15,3289,1,459,2
20200708 Idaho,Idaho,8539,94,2020-07-08,Idaho,8539,94,396,111331,2932,487,0,9,2790,1,430,4
20200707 Idaho,Idaho,8052,94,2020-07-07,Idaho,8052,94,387,108541,2907,319,1,18,2076,1,487,0
20200706 Idaho,Idaho,7733,93,2020-07-06,Idaho,7733,93,369,106465,2886,363,0,10,2199,1,319,1
20200705 Idaho,Idaho,7370,93,2020-07-05,Idaho,7370,93,359,104266,2858,376,0,4,3199,1,363,0
20200704 Idaho,Idaho,6994,93,2020-07-04,Idaho,6994,93,355,101067,2831,401,1,5,2358,1,376,0
20200703 Idaho,Idaho,6593,92,2020-07-03,Idaho,6593,92,350,98709,2801,223,0,10,3588,1,401,1
20200702 Idaho,Idaho,6370,92,2020-07-02,Idaho,6370,92,340,95121,4393,253,0,10,4081,1,223,0
20200701 Idaho,Idaho,6117,92,2020-07-01,Idaho,6117,92,330,91040,4233,365,1,8,1737,1,253,0
20200630 Idaho,Idaho,5752,91,2020-06-30,Idaho,5752,91,322,89303,4073,433,0,10,2958,1,365,1
20200629 Idaho,Idaho,5319,91,2020-06-29,Idaho,5319,91,312,86345,3898,0,0,0,0,1,433,0
20200628 Idaho,Idaho,5319,91,2020-06-28,Idaho,5319,91,312,86345,3898,171,1,3,2289,1,0,0
20200627 Idaho,Idaho,5148,90,2020-06-27,Idaho,5148,90,309,84056,3827,283,0,6,1686,1,171,1
20200626 Idaho,Idaho,4865,90,2020-06-26,Idaho,4865,90,303,82370,3712,220,0,3,1831,1,283,0
20200625 Idaho,Idaho,4645,90,2020-06-25,Idaho,4645,90,300,80539,3610,243,1,2,2704,1,220,0
20200624 Idaho,Idaho,4402,89,2020-06-24,Idaho,4402,89,298,77835,3484,148,0,5,1671,1,243,1
20200623 Idaho,Idaho,4254,89,2020-06-23,Idaho,4254,89,293,76164,3405,248,0,10,3196,1,148,0
20200622 Idaho,Idaho,4006,89,2020-06-22,Idaho,4006,89,283,72968,3305,0,0,0,0,1,248,0
20200621 Idaho,Idaho,4006,89,2020-06-21,Idaho,4006,89,283,72968,3305,135,0,4,1772,1,0,0
20200620 Idaho,Idaho,3871,89,2020-06-20,Idaho,3871,89,279,71196,3183,128,0,1,1651,1,135,0
20200619 Idaho,Idaho,3743,89,2020-06-19,Idaho,3743,89,278,69545,3088,111,1,3,1533,1,128,0
20200618 Idaho,Idaho,3632,88,2020-06-18,Idaho,3632,88,275,68012,3013,92,0,0,1228,1,111,1
20200617 Idaho,Idaho,3540,88,2020-06-17,Idaho,3540,88,275,66784,2921,78,0,5,1137,1,92,0
20200616 Idaho,Idaho,3462,88,2020-06-16,Idaho,3462,88,270,65647,2877,63,1,4,2667,1,78,0
20200615 Idaho,Idaho,3399,87,2020-06-15,Idaho,3399,87,266,62980,2837,0,0,0,0,1,63,1
20200614 Idaho,Idaho,3399,87,2020-06-14,Idaho,3399,87,266,62980,2837,46,0,1,322,1,0,0
20200613 Idaho,Idaho,3353,87,2020-06-13,Idaho,3353,87,265,62658,2776,51,1,0,1226,1,46,0
20200612 Idaho,Idaho,3302,86,2020-06-12,Idaho,3302,86,265,61432,2684,42,1,3,1317,1,51,1
20200611 Idaho,Idaho,3260,85,2020-06-11,Idaho,3260,85,262,60115,2628,40,0,0,1063,1,42,1
20200610 Idaho,Idaho,3220,85,2020-06-10,Idaho,3220,85,262,59052,2554,31,2,2,1375,1,40,0
20200609 Idaho,Idaho,3189,83,2020-06-09,Idaho,3189,83,260,57677,2509,50,0,0,1636,1,31,2
20200608 Idaho,Idaho,3139,83,2020-06-08,Idaho,3139,83,260,56041,2461,0,0,0,0,1,50,0
20200607 Idaho,Idaho,3139,83,2020-06-07,Idaho,3139,83,260,56041,2461,28,0,3,802,1,0,0
20200606 Idaho,Idaho,3111,83,2020-06-06,Idaho,3111,83,257,55239,2408,57,0,2,1615,1,28,0
20200605 Idaho,Idaho,3054,83,2020-06-05,Idaho,3054,83,255,53624,2362,64,0,2,3819,1,57,0
20200604 Idaho,Idaho,2990,83,2020-06-04,Idaho,2990,83,253,49805,2311,57,0,2,863,1,64,0
20200603 Idaho,Idaho,2933,83,2020-06-03,Idaho,2933,83,251,48942,2282,27,0,4,809,1,57,0
20200602 Idaho,Idaho,2906,83,2020-06-02,Idaho,2906,83,247,48133,2266,67,1,5,1436,1,27,0
20200601 Idaho,Idaho,2839,82,2020-06-01,Idaho,2839,82,242,46697,2248,0,0,0,0,1,67,1
20200531 Idaho,Idaho,2839,82,2020-05-31,Idaho,2839,82,242,46697,2248,36,0,2,1273,1,0,0
20200530 Idaho,Idaho,2803,82,2020-05-30,Idaho,2803,82,240,45424,2225,34,0,2,663,1,36,0
20200529 Idaho,Idaho,2769,82,2020-05-29,Idaho,2769,82,238,44761,2195,38,0,4,886,1,34,0
20200528 Idaho,Idaho,2731,82,2020-05-28,Idaho,2731,82,234,43875,2185,32,1,3,858,1,38,0
20200527 Idaho,Idaho,2699,81,2020-05-27,Idaho,2699,81,231,43017,2100,73,2,6,1611,1,32,1
20200526 Idaho,Idaho,2626,79,2020-05-26,Idaho,2626,79,225,41406,1755,0,0,0,0,1,73,2
20200525 Idaho,Idaho,2626,79,2020-05-25,Idaho,2626,79,225,41406,1755,0,0,0,0,1,0,0
20200524 Idaho,Idaho,2626,79,2020-05-24,Idaho,2626,79,225,41406,1755,31,0,0,797,1,0,0
20200523 Idaho,Idaho,2595,79,2020-05-23,Idaho,2595,79,225,40609,1735,61,2,2,1014,1,31,0
20200522 Idaho,Idaho,2534,77,2020-05-22,Idaho,2534,77,223,39595,1720,28,0,2,707,1,61,2
20200521 Idaho,Idaho,2506,77,2020-05-21,Idaho,2506,77,221,38888,1688,30,0,6,321,1,28,0
20200520 Idaho,Idaho,2476,77,2020-05-20,Idaho,2476,77,215,38567,1668,21,3,2,498,1,30,0
20200519 Idaho,Idaho,2455,74,2020-05-19,Idaho,2455,74,213,38069,1649,36,1,0,1397,1,21,3
20200518 Idaho,Idaho,2419,73,2020-05-18,Idaho,2419,73,213,36672,1612,0,0,0,0,1,36,1
20200818 Illinois,Illinois,210926,7993,2020-08-18,Illinois,210926,7993,NA,3440604,NA,1740,26,0,34175,,,
20200817 Illinois,Illinois,209186,7967,2020-08-17,Illinois,209186,7967,NA,3406429,NA,1773,12,0,38246,1,1740,26
20200816 Illinois,Illinois,207413,7955,2020-08-16,Illinois,207413,7955,NA,3368183,NA,1562,18,0,37089,1,1773,12
20200815 Illinois,Illinois,205851,7937,2020-08-15,Illinois,205851,7937,NA,3331094,NA,1828,5,0,44414,1,1562,18
20200814 Illinois,Illinois,204023,7932,2020-08-14,Illinois,204023,7932,NA,3286680,NA,2296,27,0,49573,1,1828,5
20200813 Illinois,Illinois,201727,7905,2020-08-13,Illinois,201727,7905,NA,3237107,NA,1834,24,0,46006,1,2296,27
20200812 Illinois,Illinois,199893,7881,2020-08-12,Illinois,199893,7881,NA,3191101,NA,1645,15,0,42098,1,1834,24
20200811 Illinois,Illinois,198248,7866,2020-08-11,Illinois,198248,7866,NA,3149003,NA,1549,20,0,41362,1,1645,15
20200810 Illinois,Illinois,196699,7846,2020-08-10,Illinois,196699,7846,NA,3107641,NA,1319,1,0,32353,1,1549,20
20200809 Illinois,Illinois,195380,7845,2020-08-09,Illinois,195380,7845,NA,3075288,NA,1382,5,0,41354,1,1319,1
20200808 Illinois,Illinois,193998,7840,2020-08-08,Illinois,193998,7840,NA,3033934,NA,2190,18,0,48016,1,1382,5
20200807 Illinois,Illinois,191808,7822,2020-08-07,Illinois,191808,7822,NA,2985918,NA,2103,31,0,46888,1,2190,18
20200806 Illinois,Illinois,189705,7791,2020-08-06,Illinois,189705,7791,NA,2939030,NA,1953,21,0,41686,1,2103,31
20200805 Illinois,Illinois,187752,7770,2020-08-05,Illinois,187752,7770,NA,2897344,NA,1759,28,0,46668,1,1953,21
20200804 Illinois,Illinois,185993,7742,2020-08-04,Illinois,185993,7742,NA,2850676,NA,1471,19,0,42598,1,1759,28
20200803 Illinois,Illinois,184522,7723,2020-08-03,Illinois,184522,7723,NA,2808078,NA,1298,9,0,28475,1,1471,19
20200802 Illinois,Illinois,183224,7714,2020-08-02,Illinois,183224,7714,NA,2779603,NA,1467,14,0,38945,1,1298,9
20200801 Illinois,Illinois,181757,7700,2020-08-01,Illinois,181757,7700,NA,2740658,NA,1639,8,0,39809,1,1467,14
20200731 Illinois,Illinois,180118,7692,2020-07-31,Illinois,180118,7692,NA,2700849,NA,1980,22,0,49821,1,1639,8
20200730 Illinois,Illinois,178138,7670,2020-07-30,Illinois,178138,7670,NA,2651028,NA,1772,16,0,41134,1,1980,22
20200729 Illinois,Illinois,176366,7654,2020-07-29,Illinois,176366,7654,NA,2609894,NA,1393,16,0,38187,1,1772,16
20200728 Illinois,Illinois,174973,7638,2020-07-28,Illinois,174973,7638,NA,2571707,NA,1076,30,0,28331,1,1393,16
20200727 Illinois,Illinois,173897,7608,2020-07-27,Illinois,173897,7608,NA,2543376,NA,1231,18,0,30567,1,1076,30
20200726 Illinois,Illinois,172666,7590,2020-07-26,Illinois,172666,7590,NA,2512809,NA,1541,1,0,40844,1,1231,18
20200725 Illinois,Illinois,171125,7589,2020-07-25,Illinois,171125,7589,NA,2471965,NA,1426,12,0,38200,1,1541,1
20200724 Illinois,Illinois,169699,7577,2020-07-24,Illinois,169699,7577,NA,2433765,NA,1599,17,0,44397,1,1426,12
20200723 Illinois,Illinois,168100,7560,2020-07-23,Illinois,168100,7560,NA,2389368,NA,1624,20,0,39706,1,1599,17
20200722 Illinois,Illinois,166476,7540,2020-07-22,Illinois,166476,7540,NA,2349662,NA,1598,23,0,39633,1,1624,20
20200721 Illinois,Illinois,164878,7517,2020-07-21,Illinois,164878,7517,NA,2310029,NA,955,23,0,29745,1,1598,23
20200720 Illinois,Illinois,163923,7494,2020-07-20,Illinois,163923,7494,NA,2280284,NA,1173,6,0,34598,1,955,23
20200719 Illinois,Illinois,162750,7488,2020-07-19,Illinois,162750,7488,NA,2245686,NA,965,5,0,32113,1,1173,6
20200718 Illinois,Illinois,161785,7483,2020-07-18,Illinois,161785,7483,NA,2213573,NA,1276,18,0,46099,1,965,5
20200717 Illinois,Illinois,160509,7465,2020-07-17,Illinois,160509,7465,NA,2167474,NA,1427,13,0,43735,1,1276,18
20200716 Illinois,Illinois,159082,7452,2020-07-16,Illinois,159082,7452,NA,2123739,NA,1257,25,0,43006,1,1427,13
20200715 Illinois,Illinois,157825,7427,2020-07-15,Illinois,157825,7427,NA,2080733,NA,1187,8,0,38161,1,1257,25
20200714 Illinois,Illinois,156638,7419,2020-07-14,Illinois,156638,7419,NA,2042572,NA,707,25,0,28446,1,1187,8
20200713 Illinois,Illinois,155931,7394,2020-07-13,Illinois,155931,7394,NA,2014126,NA,883,6,0,30012,1,707,25
20200712 Illinois,Illinois,155048,7388,2020-07-12,Illinois,155048,7388,NA,1984114,NA,954,19,0,38894,1,883,6
20200711 Illinois,Illinois,154094,7369,2020-07-11,Illinois,154094,7369,NA,1945220,NA,1195,24,0,32345,1,954,19
20200710 Illinois,Illinois,152899,7345,2020-07-10,Illinois,152899,7345,NA,1912875,NA,1327,16,0,32997,1,1195,24
20200709 Illinois,Illinois,151572,7329,2020-07-09,Illinois,151572,7329,NA,1879878,NA,1018,20,0,36180,1,1327,16
20200708 Illinois,Illinois,150554,7309,2020-07-08,Illinois,150554,7309,NA,1843698,NA,980,36,0,32742,1,1018,20
20200707 Illinois,Illinois,149574,7273,2020-07-07,Illinois,149574,7273,NA,1810956,NA,587,37,0,26994,1,980,36
20200706 Illinois,Illinois,148987,7236,2020-07-06,Illinois,148987,7236,NA,1783962,NA,614,6,0,21134,1,587,37
20200705 Illinois,Illinois,148373,7230,2020-07-05,Illinois,148373,7230,NA,1762828,NA,639,6,0,27235,1,614,6
20200704 Illinois,Illinois,147734,7224,2020-07-04,Illinois,147734,7224,NA,1735593,NA,862,9,0,33836,1,639,6
20200703 Illinois,Illinois,146872,7215,2020-07-03,Illinois,146872,7215,NA,1701757,NA,937,27,0,34387,1,862,9
20200702 Illinois,Illinois,145935,7188,2020-07-02,Illinois,145935,7188,NA,1667370,NA,869,36,0,30262,1,937,27
20200701 Illinois,Illinois,145066,7152,2020-07-01,Illinois,145066,7152,NA,1637108,NA,828,28,0,33090,1,869,36
20200630 Illinois,Illinois,144238,7124,2020-06-30,Illinois,144238,7124,NA,1604018,NA,724,21,0,31069,1,828,28
20200629 Illinois,Illinois,143514,7103,2020-06-29,Illinois,143514,7103,NA,1572949,NA,738,14,0,26918,1,724,21
20200628 Illinois,Illinois,142776,7089,2020-06-28,Illinois,142776,7089,NA,1546031,NA,646,15,0,23789,1,738,14
20200627 Illinois,Illinois,142130,7074,2020-06-27,Illinois,142130,7074,NA,1522242,NA,786,26,0,30237,1,646,15
20200626 Illinois,Illinois,141344,7048,2020-06-26,Illinois,141344,7048,NA,1492005,NA,910,34,0,30478,1,786,26
20200625 Illinois,Illinois,140434,7014,2020-06-25,Illinois,140434,7014,NA,1461527,NA,894,40,0,31686,1,910,34
20200624 Illinois,Illinois,139540,6974,2020-06-24,Illinois,139540,6974,NA,1429841,NA,715,63,0,29331,1,894,40
20200623 Illinois,Illinois,138825,6911,2020-06-23,Illinois,138825,6911,NA,1400510,NA,601,36,0,20507,1,715,63
20200622 Illinois,Illinois,138224,6875,2020-06-22,Illinois,138224,6875,NA,1380003,NA,462,24,0,18219,1,601,36
20200621 Illinois,Illinois,137762,6851,2020-06-21,Illinois,137762,6851,NA,1361784,NA,658,22,0,23816,1,462,24
20200620 Illinois,Illinois,137104,6829,2020-06-20,Illinois,137104,6829,NA,1337968,NA,634,111,0,25965,1,658,22
20200619 Illinois,Illinois,136470,6718,2020-06-19,Illinois,136470,6718,NA,1312003,NA,831,0,0,27310,1,634,111
20200618 Illinois,Illinois,135639,6718,2020-06-18,Illinois,135639,6718,NA,1284693,NA,593,52,0,25504,1,831,0
20200617 Illinois,Illinois,135046,6666,2020-06-17,Illinois,135046,6666,NA,1259189,NA,546,87,0,29987,1,593,52
20200616 Illinois,Illinois,134500,6579,2020-06-16,Illinois,134500,6579,NA,1229202,NA,623,72,0,18729,1,546,87
20200615 Illinois,Illinois,133877,6507,2020-06-15,Illinois,133877,6507,NA,1210473,NA,473,18,0,18627,1,623,72
20200614 Illinois,Illinois,133404,6489,2020-06-14,Illinois,133404,6489,NA,1191846,NA,672,19,0,22040,1,473,18
